"pos","count"
337338,30
337339,33
337340,36
337341,36
337342,36
337343,36
337344,37
337345,37
337346,37
337347,37
337348,39
337349,39
337350,39
337351,39
337352,39
337353,39
337354,39
337355,40
337356,40
337357,40
337358,40
337359,40
337360,40
337361,47
337362,48
337363,49
337364,49
337365,49
337366,49
337367,49
337368,49
337369,49
337370,49
337371,49
337372,49
337373,49
337374,49
337375,49
337376,49
337377,49
337378,49
337379,49
337380,51
337381,51
337382,51
337383,51
337384,51
337385,51
337386,51
337387,51
337388,22
337389,18
337390,15
337391,15
337392,15
337393,15
337394,14
337395,14
337396,14
337397,14
337398,12
337399,12
337400,17
337401,19
337402,19
337403,19
337404,19
337405,18
337406,18
337407,18
337408,18
337409,18
337410,18
337411,11
337412,10
337413,9
337414,13
337415,13
337416,13
337417,13
337418,13
337419,13
337420,13
337421,13
337422,13
337423,13
337424,13
337425,13
337426,13
337427,13
337428,13
337429,13
337430,11
337431,14
337432,14
337433,14
337434,14
337435,14
337436,14
337437,14
337438,14
337439,14
337440,15
337441,15
337442,15
337443,15
337444,15
337445,15
337446,15
337447,15
337448,15
337449,15
337450,12
337451,10
337452,10
337453,10
337454,10
337455,10
337456,10
337457,10
337458,10
337459,10
337460,10
337461,10
337462,10
337463,10
337464,6
337465,6
337466,6
337467,6
337468,6
337469,6
337470,6
337471,6
337472,6
337473,6
337474,6
337475,6
337476,6
337477,6
337478,6
337479,6
337480,6
337481,3
337482,3
337483,3
337484,3
337485,3
337486,7
337487,7
337488,7
337489,7
337490,6
337491,6
337492,6
337493,6
337494,6
337495,6
337496,6
337497,6
337498,6
337499,6
337500,4
337501,4
337502,4
337503,4
337504,4
337505,4
337506,6
337507,6
337508,6
337509,6
337510,6
337511,6
337512,6
337513,6
337514,6
337515,6
337516,6
337517,6
337518,6
337519,6
337520,6
337521,6
337522,6
337523,6
337524,6
337525,6
337526,6
337527,6
337528,6
337529,6
337530,6
337531,6
337532,11
337533,11
337534,11
337535,12
337536,8
337537,8
337538,8
337539,8
337540,8
337541,8
337542,8
337543,8
337544,8
337545,8
337546,8
337547,8
337548,8
337549,8
337550,8
337551,8
337552,8
337553,8
337554,8
337555,8
337556,6
337557,6
337558,6
337559,6
337560,6
337561,6
337562,6
337563,6
337564,6
337565,6
337566,6
337567,6
337568,6
337569,6
337570,6
337571,6
337572,6
337573,6
337574,6
337575,6
337576,6
337577,6
337578,6
337579,6
337580,6
337581,6
337582,1
337583,1
337584,1
337746,3
337747,3
337748,3
337749,3
337750,3
337751,11
337752,11
337753,11
337754,11
337755,11
337756,11
337757,11
337758,11
337759,11
337760,11
337761,11
337762,11
337763,11
337764,11
337765,11
337766,11
337767,11
337768,11
337769,11
337770,11
337771,11
337772,11
337773,11
337774,11
337775,11
337776,11
337777,11
337778,11
337779,11
337780,11
337781,11
337782,11
337783,11
337784,11
337785,11
337786,11
337787,11
337788,11
337789,11
337790,11
337791,11
337792,11
337793,11
337794,11
337795,11
337796,8
337797,8
337798,8
337799,8
337800,8
338799,3
338800,3
338801,3
338802,3
338803,3
338804,3
338805,3
338806,3
338807,3
338808,3
338809,3
338810,3
338811,3
338812,3
338813,3
338814,3
338815,3
338816,3
338817,3
338818,3
338819,3
338820,3
338821,3
338822,3
338823,3
338824,3
338825,3
338826,3
338827,3
338828,3
338829,3
338830,3
338831,3
338832,3
338833,3
