"pos","count"
340245,30
340246,33
340247,36
340248,36
340249,36
340250,36
340251,37
340252,37
340253,37
340254,37
340255,39
340256,39
340257,39
340258,39
340259,39
340260,39
340261,39
340262,40
340263,40
340264,40
340265,40
340266,40
340267,40
340268,47
340269,48
340270,49
340271,49
340272,49
340273,49
340274,49
340275,49
340276,49
340277,49
340278,49
340279,49
340280,49
340281,49
340282,49
340283,49
340284,49
340285,49
340286,49
340287,51
340288,51
340289,51
340290,51
340291,51
340292,51
340293,51
340294,51
340295,22
340296,18
340297,15
340298,15
340299,15
340300,15
340301,14
340302,14
340303,14
340304,14
340305,12
340306,12
340307,17
340308,19
340309,19
340310,19
340311,19
340312,18
340313,18
340314,18
340315,18
340316,18
340317,18
340318,11
340319,10
340320,9
340321,13
340322,13
340323,13
340324,13
340325,13
340326,13
340327,13
340328,13
340329,13
340330,13
340331,13
340332,13
340333,13
340334,13
340335,13
340336,13
340337,11
340338,14
340339,14
340340,14
340341,14
340342,14
340343,14
340344,14
340345,14
340346,14
340347,15
340348,15
340349,15
340350,15
340351,15
340352,15
340353,15
340354,15
340355,15
340356,15
340357,12
340358,10
340359,10
340360,10
340361,10
340362,10
340363,10
340364,10
340365,10
340366,10
340367,10
340368,10
340369,10
340370,10
340371,6
340372,6
340373,6
340374,6
340375,6
340376,6
340377,6
340378,6
340379,6
340380,6
340381,6
340382,6
340383,6
340384,6
340385,6
340386,6
340387,6
340388,3
340389,3
340390,3
340391,3
340392,3
340393,7
340394,7
340395,7
340396,7
340397,6
340398,6
340399,6
340400,6
340401,6
340402,6
340403,6
340404,6
340405,6
340406,6
340407,4
340408,4
340409,4
340410,4
340411,4
340412,4
340413,6
340414,6
340415,6
340416,6
340417,6
340418,6
340419,6
340420,6
340421,6
340422,6
340423,6
340424,6
340425,6
340426,6
340427,6
340428,6
340429,6
340430,6
340431,6
340432,6
340433,6
340434,6
340435,6
340436,6
340437,6
340438,6
340439,11
340440,11
340441,11
340442,12
340443,8
340444,8
340445,8
340446,8
340447,8
340448,8
340449,8
340450,8
340451,8
340452,8
340453,8
340454,8
340455,8
340456,8
340457,8
340458,8
340459,8
340460,8
340461,8
340462,8
340463,6
340464,6
340465,6
340466,6
340467,6
340468,6
340469,6
340470,6
340471,6
340472,6
340473,6
340474,6
340475,6
340476,6
340477,6
340478,6
340479,6
340480,6
340481,6
340482,6
340483,6
340484,6
340485,6
340486,6
340487,6
340488,6
340489,1
340490,1
340491,1
340653,3
340654,3
340655,3
340656,3
340657,3
340658,11
340659,11
340660,11
340661,11
340662,11
340663,11
340664,11
340665,11
340666,11
340667,11
340668,11
340669,11
340670,11
340671,11
340672,11
340673,11
340674,11
340675,11
340676,11
340677,11
340678,11
340679,11
340680,11
340681,11
340682,11
340683,11
340684,11
340685,11
340686,11
340687,11
340688,11
340689,11
340690,11
340691,11
340692,11
340693,11
340694,11
340695,11
340696,11
340697,11
340698,11
340699,11
340700,11
340701,11
340702,11
340703,8
340704,8
340705,8
340706,8
340707,8
341706,3
341707,3
341708,3
341709,3
341710,3
341711,3
341712,3
341713,3
341714,3
341715,3
341716,3
341717,3
341718,3
341719,3
341720,3
341721,3
341722,3
341723,3
341724,3
341725,3
341726,3
341727,3
341728,3
341729,3
341730,3
341731,3
341732,3
341733,3
341734,3
341735,3
341736,3
341737,3
341738,3
341739,3
341740,3
