"pos","count"
336656,22
336657,23
336658,22
336659,22
336660,23
336661,24
336662,23
336663,23
336664,24
336665,24
336666,21
336667,24
336668,24
336669,21
336670,24
336671,23
336672,21
336673,23
336674,24
336675,22
336676,23
336677,24
336678,23
336679,24
336680,24
336681,23
336682,24
336683,24
336684,24
336685,23
336686,24
336687,23
336688,24
336689,22
336690,23
336691,27
336692,27
336693,25
336694,27
336695,27
336696,26
336697,25
336698,28
336699,28
336700,28
336701,28
336702,26
336703,26
336704,26
336705,25
336706,22
336707,24
336708,23
336709,23
336710,24
336711,24
336712,23
336713,24
336714,19
336715,20
336716,20
336717,20
336718,19
336719,17
336720,17
336721,17
336722,17
336723,19
336724,16
336725,19
336726,16
336727,18
336728,17
336729,15
336730,18
336731,18
336732,19
336733,18
336734,18
336735,17
336736,15
336737,16
336738,13
336739,11
336740,16
336741,17
336742,17
336743,18
336744,14
336745,18
336746,15
336747,15
336748,16
336749,17
336750,15
336751,17
336752,17
336753,17
336754,16
336755,16
336756,13
336757,12
336758,15
336759,15
336760,16
336761,19
336762,17
336763,34
336764,38
336765,38
336766,38
336767,44
336768,40
336769,40
336770,20
336771,25
336772,23
336773,23
336774,20
336775,21
336776,22
336777,24
336778,23
336779,23
336780,21
336781,22
336782,22
336783,18
336784,22
336785,21
336786,22
336787,22
336788,20
336789,22
336790,20
336791,19
336792,14
336793,16
336794,20
336795,18
336796,17
336797,22
336798,19
336799,20
336800,21
336801,19
336802,16
336803,16
336804,19
336805,17
336806,17
336807,18
336808,18
336809,19
336810,18
336811,15
336812,14
336813,18
336814,17
336815,15
336816,13
336817,15
336818,18
336819,15
336820,18
336821,18
336822,17
336823,18
336824,18
336825,18
336826,16
336827,17
336828,15
336829,17
336830,16
336831,16
336832,19
336833,19
336834,18
336835,19
336836,19
336837,18
336838,15
336839,18
336840,15
336841,18
336842,16
336843,18
336844,17
336845,16
336846,17
336847,18
336848,19
336849,19
336850,19
336851,18
336852,18
336853,21
336854,19
336855,19
336856,19
336857,19
336858,20
336859,21
336860,19
336861,21
336862,21
336863,21
336864,21
336865,22
336866,21
336867,21
336868,23
336869,22
336870,21
336871,21
336872,22
336873,21
336874,19
336875,24
336876,21
336877,23
336878,23
336879,23
336880,21
336881,22
336882,24
336883,24
336884,22
336885,19
336886,20
336887,23
336888,23
336889,22
336890,22
336891,20
336892,20
336893,23
336894,20
336895,16
336896,19
336897,19
336898,18
336899,20
336900,19
336901,19
336902,21
336903,19
336904,18
336905,20
336906,19
336907,17
336908,19
336909,17
336910,20
336911,20
336912,17
336913,17
336914,19
336915,19
336916,19
336917,21
336918,19
336919,20
336920,17
336921,16
336922,15
336923,16
336924,16
336925,17
336926,15
336927,16
336928,15
336929,15
336930,15
336931,14
336932,18
336933,15
336934,19
336935,18
336936,17
336937,16
336938,18
336939,15
336940,17
336941,16
336942,14
336943,20
336944,18
336945,16
336946,20
336947,19
336948,16
336949,16
336950,15
336951,18
336952,14
336953,17
336954,19
336955,18
336956,18
336957,16
336958,16
336959,17
336960,15
336961,14
336962,17
336963,20
336964,19
336965,18
336966,18
336967,18
336968,17
336969,16
336970,19
336971,17
336972,18
336973,19
336974,17
336975,18
336976,18
336977,18
336978,16
336979,14
336980,20
336981,18
336982,20
336983,20
